date,site,Mat,Species,percent_comp
6/19/24,1S,Microcoleus,M_other,6.19383872925642%
6/19/24,3,Microcoleus,M_other,6.12294921236681%
6/19/24,4,Microcoleus,M_other,8.49698438269714%
7/2/24,1S,Microcoleus,M_other,4.98585768953469%
7/2/24,2,Microcoleus,M_other,8.44347415624263%
7/2/24,3,Microcoleus,M_other,8.77563444051287%
7/2/24,4,Microcoleus,M_other,7.03707810000475%
7/17/24,1S,Microcoleus,M_other,10.40051597890560%
7/17/24,2,Microcoleus,M_other,15.08025208779610%
7/17/24,3,Microcoleus,M_other,8.46945992099770%
7/17/24,3,Microcoleus,M_other,10.06032909769370%
7/17/24,4,Microcoleus,M_other,11.14518976169460%
7/31/24,1S,Microcoleus,M_other,7.08219657222804%
7/31/24,2,Microcoleus,M_other,16.22495509188890%
7/31/24,3,Microcoleus,M_other,7.71705351073128%
7/31/24,3,Microcoleus,M_other,7.22822399665989%
7/31/24,4,Microcoleus,M_other,8.55564713197126%
8/14/24,1S,Microcoleus,M_other,18.84798840743050%
8/14/24,2,Microcoleus,M_other,12.55834889303810%
8/14/24,3,Microcoleus,M_other,13.30926371659570%
8/14/24,4,Microcoleus,M_other,15.25295306185890%
8/26/24,1S,Microcoleus,M_other,14.39237781136920%
8/26/24,2,Microcoleus,M_other,9.89903142101072%
8/26/24,3,Microcoleus,M_other,11.03126199513800%
8/26/24,4,Microcoleus,M_other,6.51107554086849%
9/14/24,1S,Microcoleus,M_other,10.65437612330480%
9/14/24,2,Microcoleus,M_other,6.75488749538915%
9/14/24,3,Microcoleus,M_other,15.50165990409440%
9/14/24,4,Microcoleus,M_other,11.57396743271260%
9/27/24,1S,Microcoleus,M_other,10.12563648439230%
9/27/24,2,Microcoleus,M_other,6.09523321504976%
9/27/24,4,Microcoleus,M_other,6.24755719912209%
10/10/24,1S,Microcoleus,M_other,7.67570063002389%
10/10/24,2,Microcoleus,M_other,9.03642998911581%
10/10/24,4,Microcoleus,M_other,9.02112518350792%
6/19/24,1S,Microcoleus,Bacteroidetes,1.57658657902918%
6/19/24,3,Microcoleus,Bacteroidetes,2.06059219556834%
6/19/24,4,Microcoleus,Bacteroidetes,1.14500259622682%
7/2/24,1S,Microcoleus,Bacteroidetes,0.47880502098238%
7/2/24,2,Microcoleus,Bacteroidetes,1.44264810007080%
7/2/24,3,Microcoleus,Bacteroidetes,3.54982307955713%
7/2/24,4,Microcoleus,Bacteroidetes,1.84519378494385%
7/17/24,1S,Microcoleus,Bacteroidetes,0.81190798376184%
7/17/24,2,Microcoleus,Bacteroidetes,1.29148427555804%
7/17/24,3,Microcoleus,Bacteroidetes,0.40191123454022%
7/17/24,3,Microcoleus,Bacteroidetes,0.66740091726530%
7/17/24,4,Microcoleus,Bacteroidetes,0.80097087378641%
