"field_date","site_reach","site","reach","mat_sampled","ATX_all_ug_afdm_g","ATX_all_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","per_org_matter"
2022-06-29,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.18
2022-06-29,"SFE-M-3","SFE-M","3","Microcoleus",0,0,0,0,0,0.18
2022-06-29,"SFE-M-4","SFE-M","4","Microcoleus",0,0,0,0,0,0.18
2022-07-14,"SFE-M-1S","SFE-M","1S","Anabaena",2.0552632,0.781,0.781,0,0,0.38
2022-07-14,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.76
2022-07-14,"SFE-M-3","SFE-M","3","Anabaena",1.9103125,0.6113,0.542,0,0.0693,0.32
2022-07-14,"SFE-M-3","SFE-M","3","Microcoleus",0,0,0,0,0,0.57
2022-07-14,"SFE-M-4","SFE-M","4","Anabaena",0.6162162,0.228,0.228,0,0,0.37
2022-07-28,"SFE-M-1S","SFE-M","1S","Anabaena",11.0515217,5.0837,4.4737,0,0.61,0.46
2022-07-28,"SFE-M-1S","SFE-M","1S","Microcoleus",0.6401562,0.4097,0.4097,0,0,0.64
2022-07-28,"SFE-M-3","SFE-M","3","Anabaena",9.6306122,4.719,4.279,0,0.44,0.49
2022-07-28,"SFE-M-3","SFE-M","3","Microcoleus",0,0,0,0,0,0.71
2022-07-28,"SFE-M-4","SFE-M","4","Anabaena",11.2110417,5.3813,4.5993,0,0.782,0.48
2022-08-10,"SFE-M-1S","SFE-M","1S","Anabaena",154.2180328,94.073,72.138,0,21.935,0.61
2022-08-10,"SFE-M-1S","SFE-M","1S","Microcoleus",6.0793872,4.365,3.754,0,0.611,0.718
2022-08-10,"SFE-M-3","SFE-M","3","Anabaena",4.4456522,2.045,1.894,0,0.151,0.46
2022-08-10,"SFE-M-3","SFE-M","3","Microcoleus",0.8037975,0.635,0.384,0,0.251,0.79
2022-08-10,"SFE-M-4","SFE-M","4","Anabaena",95.0695652,43.732,32.582,0,11.15,0.46
2022-08-10,"SFE-M-4","SFE-M","4","Microcoleus",237.644186,102.187,69.894,0,32.293,0.43
2022-08-23,"SFE-M-1S","SFE-M","1S","Microcoleus",1.4872973,1.1006,0.7723,0,0.3283,0.74
2022-08-23,"SFE-M-3","SFE-M","3","Anabaena",1.6934783,0.779,0.601,0,0.178,0.46
2022-08-23,"SFE-M-3","SFE-M","3","Microcoleus",1.1991643,0.861,0.861,0,0,0.718
2022-09-06,"SFE-M-1S","SFE-M","1S","Anabaena",0,0,0,0,0,0.45
2022-09-06,"SFE-M-3","SFE-M","3","Microcoleus",0.5188679,0.33,0.198,0,0.132,0.636
2022-09-08,"SFE-M-1S","SFE-M","1S","Microcoleus",3.1985915,2.271,1.685,0,0.586,0.71
2022-09-17,"SFE-M-1S","SFE-M","1S","Anabaena",0,0,0,0,0,0.46
2022-09-17,"SFE-M-1S","SFE-M","1S","Microcoleus",3.2685714,2.288,1.877,0,0.411,0.7
2022-09-17,"SFE-M-3","SFE-M","3","Microcoleus",0.6315789,0.48,0.3467,0,0.1333,0.76
2023-07-03,"SFE-M-3","SFE-M","3","Microcoleus",0,0,0,0,0,0.67
2023-07-10,"SFE-M-1S","SFE-M","1S","Anabaena",0,0,0,0,0,0.64
2023-07-10,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.88
2023-07-10,"SFE-M-2","SFE-M","2","Microcoleus",0,0,0,0,0,0.06
2023-07-10,"SFE-M-3","SFE-M","3","Microcoleus",0,0,0,0,0,0.85
2023-07-10,"SFE-M-4","SFE-M","4","Anabaena",0.0626866,0.042,0.042,0,0,0.67
2023-07-11,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.69
2023-07-17,"SFE-M-1S","SFE-M","1S","Anabaena",0.0436464,0.0237,0.0237,0,0,0.543
2023-07-17,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.685
2023-07-17,"SFE-M-3","SFE-M","3","Microcoleus",0,0,0,0,0,0.699
2023-07-17,"SFE-M-4","SFE-M","4","Anabaena",0.0365854,0.015,0.015,0,0,0.41
2023-07-24,"SFE-M-1S","SFE-M","1S","Anabaena",0.33,0.1485,0.124,0,0.0245,0.45
2023-07-24,"SFE-M-1S","SFE-M","1S","Microcoleus",0,0,0,0,0,0.675
2023-07-24,"SFE-M-2","SFE-M","2","Anabaena",4.8121212,1.588,1.423,0,0.165,0.33
2023-07-24,"SFE-M-2","SFE-M","2","Microcoleus",0,0,0,0,0,0.16
2023-07-24,"SFE-M-3","SFE-M","3","Anabaena",0.275,0.088,0.026,0,0.062,0.32
2023-07-24,"SFE-M-3","SFE-M","3","Microcoleus",0.1433121,0.09,0.09,0,0,0.628
2023-07-24,"SFE-M-4","SFE-M","4","Anabaena",1.9948718,0.778,0.605,0,0.173,0.39
2023-07-31,"SFE-M-1S","SFE-M","1S","Anabaena",8.83448785,3.692,3.132,0,0.56,0.5515
2023-07-31,"SFE-M-1S","SFE-M","1S","Microcoleus",0.2561247,0.178,0.178,0,0,0.692
2023-07-31,"SFE-M-2","SFE-M","2","Anabaena",14.7617647,5.019,4.227,0,0.792,0.34
2023-07-31,"SFE-M-2","SFE-M","2","Microcoleus",0.3115385,0.081,0.081,0,0,0.26
2023-07-31,"SFE-M-3","SFE-M","3","Anabaena",1.8166667,0.763,0.588,0,0.175,0.42
2023-07-31,"SFE-M-3","SFE-M","3","Microcoleus",0.4064935,0.313,0.268,0,0.045,0.77
2023-07-31,"SFE-M-4","SFE-M","4","Anabaena",11.8761905,4.988,3.862,0,1.126,0.42
2023-08-07,"SFE-M-1S","SFE-M","1S","Anabaena",17.78662445,7.132,6.37365,0,0.75835,0.463
2023-08-07,"SFE-M-1S","SFE-M","1S","Microcoleus",0.527971,0.3643,0.2943,0,0.07,0.69
2023-08-07,"SFE-M-2","SFE-M","2","Anabaena",9.4769231,1.232,1.144,0,0.088,0.13
2023-08-07,"SFE-M-2","SFE-M","2","Microcoleus",7.4540541,2.758,2.42,0,0.338,0.37
2023-08-07,"SFE-M-3","SFE-M","3","Anabaena",10.6955556,4.813,4.13,0,0.683,0.45
2023-08-07,"SFE-M-3","SFE-M","3","Microcoleus",2.7764706,1.888,1.536,0,0.352,0.68
2023-08-07,"SFE-M-4","SFE-M","4","Anabaena",87.7,38.588,34.248,0,4.34,0.44
2023-08-07,"SFE-M-4","SFE-M","4","Microcoleus",2.8111111,0.253,0.253,0,0,0.09
2023-08-14,"SFE-M-1S","SFE-M","1S","Anabaena",70.28942205,36.5015,32.276,0.019,4.2065,0.54
2023-08-14,"SFE-M-1S","SFE-M","1S","Microcoleus",0.70866665,0.5315,0.482,0,0.0495,0.75
2023-08-14,"SFE-M-2","SFE-M","2","Anabaena",177.0758621,51.352,45.657,0,5.695,0.29
2023-08-14,"SFE-M-2","SFE-M","2","Microcoleus",3.2745763,1.932,1.643,0,0.289,0.59
2023-08-14,"SFE-M-3","SFE-M","3","Anabaena",43.7452465,24.8473,21.7983,0,3.049,0.568
2023-08-14,"SFE-M-3","SFE-M","3","Microcoleus",8.850466,6.6467,5.499,0,1.1477,0.751
2023-08-14,"SFE-M-4","SFE-M","4","Anabaena",67.7891892,25.082,21.478,0,3.604,0.37
2023-08-22,"SFE-M-1S","SFE-M","1S","Anabaena",39.13851215,15.9715,13.9875,0,1.984,0.45
2023-08-22,"SFE-M-1S","SFE-M","1S","Microcoleus",3.9301566,2.7725,2.3365,0,0.436,0.725
2023-08-22,"SFE-M-2","SFE-M","2","Anabaena",34.615,6.923,5.981,0,0.942,0.2
2023-08-22,"SFE-M-2","SFE-M","2","Microcoleus",30.875,17.29,14.72,0,2.57,0.56
2023-08-22,"SFE-M-3","SFE-M","3","Anabaena",39.387788,17.0943,13.9683,0,3.126,0.434
2023-08-22,"SFE-M-3","SFE-M","3","Microcoleus",9.6872368,7.3623,6.2913,0,1.071,0.76
2023-08-22,"SFE-M-4","SFE-M","4","Anabaena",65.482,32.741,28.817,0,3.924,0.5
2023-08-22,"SFE-M-4","SFE-M","4","Microcoleus",247.665,99.066,83.438,0,15.628,0.4
2023-08-28,"SFE-M-1S","SFE-M","1S","Anabaena",10.4983333,12.598,10.67,0,1.928,1
2023-08-28,"SFE-M-1S","SFE-M","1S","Microcoleus",8.3825713,6.252,5.09085,0,1.16115,0.744
2023-08-28,"SFE-M-2","SFE-M","2","Microcoleus",34.6041667,16.61,14.081,0,2.529,0.48
2023-08-28,"SFE-M-3","SFE-M","3","Anabaena",1.6210526,0.616,0.463,0,0.153,0.38
