"field_date","site_reach","site","reach","green_algae","microcoleus","anabaena_cylindrospermum","other_nfixers","bare_biofilm"
2022-06-29,"SFE-M-1S","SFE-M","1S",4.363636364,0.636363636,0,3.181818182,91.81818182
2022-06-29,"SFE-M-3","SFE-M","3",15.90909091,0.272727273,0,2.454545455,81.36363636
2022-06-29,"SFE-M-4","SFE-M","4",10.18181818,0,0,1.272727273,88.54545455
2022-07-14,"SFE-M-1S","SFE-M","1S",23.36363636,0,0.909090909,6.272727273,69.45454545
2022-07-14,"SFE-M-3","SFE-M","3",40,1.818181818,0.909090909,4.272727273,53
2022-07-14,"SFE-M-4","SFE-M","4",40,0,0.272727273,1.636363636,58.09090909
2022-07-28,"SFE-M-1S","SFE-M","1S",27.45454545,1,8.909090909,0.909090909,61.72727273
2022-07-28,"SFE-M-3","SFE-M","3",42.18181818,1.545454545,24.18181818,0.545454545,31.54545455
2022-07-28,"SFE-M-4","SFE-M","4",38.18181818,0,25.90909091,1.090909091,34.81818182
2022-08-10,"SFE-M-1S","SFE-M","1S",46.90909091,6.636363636,2.363636364,1.636363636,42.45454545
2022-08-10,"SFE-M-3","SFE-M","3",67.81818182,0.909090909,0.272727273,1.636363636,29.36363636
2022-08-10,"SFE-M-4","SFE-M","4",52.18181818,5,3.181818182,1.090909091,38.54545455
2022-08-23,"SFE-M-1S","SFE-M","1S",53.90909091,2.727272727,0,0.454545455,42.90909091
2022-08-23,"SFE-M-3","SFE-M","3",57.18181818,3.181818182,0,0,39.63636364
2022-08-23,"SFE-M-4","SFE-M","4",25.54545455,1.363636364,0.909090909,1,71.18181818
2022-09-06,"SFE-M-1S","SFE-M","1S",56.18181818,10.45454545,0.090909091,0.909090909,32.36363636
2022-09-06,"SFE-M-3","SFE-M","3",43.18181818,1.818181818,0,0.545454545,54.45454545
2022-09-06,"SFE-M-4","SFE-M","4",16.36363636,0,0,4.818181818,78.81818182
2022-09-17,"SFE-M-1S","SFE-M","1S",51.27272727,11.36363636,2.454545455,0.454545455,34.45454545
2022-09-17,"SFE-M-3","SFE-M","3",14.18181818,12,0,0.636363636,73.18181818
2022-09-17,"SFE-M-4","SFE-M","4",15.09090909,0,0,3.181818182,81.72727273
2023-06-20,"SFE-M-1S","SFE-M","1S",2.272727273,0,0,0,97.72727273
2023-06-20,"SFE-M-2","SFE-M","2",0.6,0,0,0,99.4
2023-06-20,"SFE-M-3","SFE-M","3",2.545454545,0,0,0.090909091,97.36363636
2023-06-20,"SFE-M-4","SFE-M","4",1.545454545,0,0,0,98.45454545
2023-06-25,"SFE-M-1S","SFE-M","1S",7.181818182,0,0,0,92.81818182
2023-06-25,"SFE-M-2","SFE-M","2",0.5,0,0,0,99.5
2023-06-25,"SFE-M-3","SFE-M","3",0.363636364,0,0,0.727272727,98.90909091
2023-06-25,"SFE-M-4","SFE-M","4",4.545454545,0,0,0,95.45454545
2023-07-03,"SFE-M-1S","SFE-M","1S",10.63636364,0,0,0.545454545,88.81818182
2023-07-03,"SFE-M-2","SFE-M","2",1.3,0,0,0,98.7
2023-07-03,"SFE-M-3","SFE-M","3",5.181818182,0.181818182,0,0.909090909,93.72727273
2023-07-03,"SFE-M-4","SFE-M","4",15,0,0,0,85
2023-07-10,"SFE-M-1S","SFE-M","1S",20.45454545,0.454545455,0,0.727272727,78.36363636
2023-07-10,"SFE-M-2","SFE-M","2",1.3,0,0,0,98.7
2023-07-10,"SFE-M-3","SFE-M","3",6.909090909,0.727272727,0,0.909090909,91.45454545
2023-07-10,"SFE-M-4","SFE-M","4",27.90909091,0,0,0,72.09090909
2023-07-17,"SFE-M-1S","SFE-M","1S",15.45454545,0,0.363636364,2,82.18181818
2023-07-17,"SFE-M-2","SFE-M","2",0.6,0,0,0,99.4
2023-07-17,"SFE-M-3","SFE-M","3",2.272727273,0.636363636,0,0.909090909,96.18181818
2023-07-17,"SFE-M-4","SFE-M","4",28.90909091,0,0.454545455,0,70.63636364
2023-07-24,"SFE-M-1S","SFE-M","1S",21.54545455,0.909090909,0.818181818,1.363636364,75.36363636
2023-07-24,"SFE-M-2","SFE-M","2",1.363636364,0.363636364,0,0,98.27272727
2023-07-24,"SFE-M-3","SFE-M","3",13.36363636,0.909090909,0.636363636,0.272727273,84.81818182
2023-07-24,"SFE-M-4","SFE-M","4",27.90909091,0,3.909090909,0,68.18181818
2023-07-31,"SFE-M-1S","SFE-M","1S",28.63636364,1.181818182,1.545454545,1.181818182,67.45454545
2023-07-31,"SFE-M-2","SFE-M","2",1.272727273,0,0,0,98.72727273
2023-07-31,"SFE-M-3","SFE-M","3",19.27272727,1.636363636,1.818181818,0.181818182,77.09090909
2023-07-31,"SFE-M-4","SFE-M","4",22.36363636,0,18.90909091,0,58.72727273
2023-08-07,"SFE-M-1S","SFE-M","1S",45.45454545,0.909090909,11.90909091,1.181818182,40.54545455
2023-08-07,"SFE-M-2","SFE-M","2",1.818181818,0.181818182,0,0.090909091,97.90909091
2023-08-07,"SFE-M-3","SFE-M","3",7.272727273,4.727272727,9.909090909,1,77.09090909
2023-08-07,"SFE-M-4","SFE-M","4",24.09090909,0,22.27272727,0,53.63636364
2023-08-14,"SFE-M-1S","SFE-M","1S",25.36363636,6.136363636,9.681818182,2.363636364,56.45454545
2023-08-14,"SFE-M-2","SFE-M","2",1.545454545,1.818181818,0,0,96.63636364
2023-08-14,"SFE-M-3","SFE-M","3",19.72727273,11.09090909,14.54545455,0.272727273,54.36363636
2023-08-14,"SFE-M-4","SFE-M","4",14.81818182,12.90909091,14.72727273,0.181818182,57.36363636
2023-08-22,"SFE-M-1S","SFE-M","1S",29.54545455,8,3.727272727,2.454545455,56.27272727
2023-08-22,"SFE-M-2","SFE-M","2",6.272727273,0.454545455,0,0.090909091,93.18181818
2023-08-22,"SFE-M-3","SFE-M","3",18.81818182,13.36363636,2.272727273,0.181818182,65.36363636
2023-08-22,"SFE-M-4","SFE-M","4",27.36363636,3.181818182,3.636363636,2.909090909,62.90909091
2023-08-28,"SFE-M-1S","SFE-M","1S",23.54545455,8.454545455,1.454545455,2.454545455,64.09090909
2023-08-28,"SFE-M-2","SFE-M","2",1.090909091,2,0,0,96.90909091
2023-08-28,"SFE-M-3","SFE-M","3",26.90909091,12.36363636,0.181818182,0.181818182,60.36363636
2023-08-28,"SFE-M-4","SFE-M","4",26.90909091,0,0.181818182,4.818181818,68.09090909
2023-09-04,"SFE-M-1S","SFE-M","1S",33.45454545,4.818181818,4.545454545,10.45454545,46.72727273
2023-09-04,"SFE-M-2","SFE-M","2",0.636363636,1.818181818,0,0,97.54545455
2023-09-04,"SFE-M-3","SFE-M","3",4.363636364,18.81818182,0,0.454545455,76.36363636
2023-09-04,"SFE-M-4","SFE-M","4",15.36363636,0,0,3,81.63636364
2023-09-12,"SFE-M-1S","SFE-M","1S",28.45454545,4.545454545,2.909090909,6.363636364,57.72727273
2023-09-12,"SFE-M-2","SFE-M","2",1.454545455,1,0,0,97.54545455
2023-09-12,"SFE-M-3","SFE-M","3",3.363636364,17.27272727,0,0.454545455,78.90909091
2023-09-12,"SFE-M-4","SFE-M","4",16.27272727,0.454545455,0,2.363636364,80.90909091
2023-09-18,"SFE-M-1S","SFE-M","1S",22,9.090909091,3.272727273,12.27272727,53.36363636
2023-09-18,"SFE-M-2","SFE-M","2",0,11.63636364,0.454545455,0,87.90909091
2023-09-18,"SFE-M-3","SFE-M","3",5,24.09090909,0.272727273,0.363636364,70.27272727
