"field_date","analyzed_date","site_reach","site","reach","mat_sampled","method","microcoleus","non_e_diatoms","e_diatoms","other_coccoids","green_algae","anabaena_and_cylindrospermum","gloeotrichia","nostoc","calothrix","leptolyngbya_and_geitlerinema","oscillatoria","scytonema","rivularia_or_early_stage_gloeotrichia","unknown","miscellaneous_oscillatoriales","phormidium_unknown","chroococcus","tolypothrix","nodularia","aphanothece"
2022-06-29,"10/3/23","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",80,2,3,1,2,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0
2022-06-29,"10/24/23","SFE-M-3","SFE-M","3","Microcoleus","preserved",77,4,6,1,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2022-06-29,"10/25/23","SFE-M-4","SFE-M","4","Microcoleus","preserved",54,11,5,3,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-14,"10/23/23","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",69.9,5,5,2,2,5,0,5,0,0,0,0,0,0,0,0,0.1,0,0,0
2022-07-14,"10/23/23","SFE-M-3","SFE-M","3","Microcoleus","preserved",62,10,5,2,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-28,"10/24/23","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",60,2,12,4,5,10,0,2,0,3,0,0,0,0,0,0,0,0,0,0
2022-07-28,"10/25/23","SFE-M-3","SFE-M","3","Microcoleus","preserved",54,8,12,3,10,5,0,2,0,1,0,3,0,0,0,0,0,0,0,0
2022-08-10,"10/25/23","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",65.9,6,6,3,3,3,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0
2022-08-10,"10/26/23","SFE-M-3","SFE-M","3","Microcoleus","preserved",70,3,7,5,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2022-08-10,"10/25/23","SFE-M-4","SFE-M","4","Microcoleus","preserved",33.8,4,25,3,7,10,0,1,0,10,0.1,0,0,0,0.1,0,0,0,0,0
2022-08-23,"10/31/23","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",68,10,4,3,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2022-08-23,"10/31/23","SFE-M-3","SFE-M","3","Microcoleus","preserved",80,3,5,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-08-23,"10/31/23","SFE-M-4","SFE-M","4","Microcoleus","preserved",58.9,4,8,5,12,1,0,0,0,2,3,0,0,0,0,0,0.1,0,0,0
2022-09-06,"10/31/23","SFE-M-3","SFE-M","3","Microcoleus","preserved",78,2,3,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-09-08,"11/1/23","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",66.9,4,6,3,6,1,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0
2022-09-17,"11/1/23","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",56,3,5,10,8,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0
2022-09-17,"11/1/23","SFE-M-3","SFE-M","3","Microcoleus","preserved",69,5,5,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2023-07-03,"3/7/24","SFE-M-3","SFE-M","3","Microcoleus","preserved",79.8666666666667,3,1,1.66666666666667,4.66666666666667,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0
2023-07-10,"3/7/24","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",72.3,12,2.33333333333333,2,2,0,0,0,0.0333333333333333,1.33333333333333,0,0,0,0,0,0,0,0,0,0
2023-07-10,"3/8/24","SFE-M-3","SFE-M","3","Microcoleus","preserved",71.6,7.33333333333333,0,2.33333333333333,3,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-17,"3/11/24","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",60.6333333333333,8,3.33333333333333,2.33333333333333,7.66666666666667,0.0333333333333333,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0
2023-07-17,"3/14/24","SFE-M-3","SFE-M","3","Microcoleus","preserved",67,4.33333333333333,3.33333333333333,1.66666666666667,2.66666666666667,0,0,0,1.33333333333333,2.33333333333333,0,0,0,0,0,0,0,0,0,0
2023-07-24,"3/12/24","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",75.5333333333333,3.66666666666667,1,1,6,0,0,0.7,0.0666666666666667,2,0,0,0,0,0,0,0,0,0.0333333333333333,0
2023-07-24,"11/17/23","SFE-M-3","SFE-M","3","Microcoleus","preserved",50.3333333333333,4.33333333333333,5.33333333333333,3.33333333333333,13.6666666666667,0,0,0,0,2.33333333333333,0,0,0,2.33333333333333,0,0,0,0,0,0
2023-07-31,"3/15/24","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",45,5.33333333333333,6.66666666666667,2.66666666666667,10,5,0,0,3.33333333333333,4,0,0,0,0,0,0,1.66666666666667,0,0,0
2023-07-31,"3/18/24","SFE-M-3","SFE-M","3","Microcoleus","preserved",62.2333333333333,5.66666666666667,8.66666666666667,2.66666666666667,6,4.66666666666667,0,0,0,1.66666666666667,0,0,0,0,0,0,0.1,0,0,0
