"field_date","site_reach","site","reach","nitrate_mg_N_L","oPhos_ug_P_L","ammonium_mg_N_L","DIN_mg_N_L","temp_C","cond_uS_cm","pH","DO_mg_L"
2022-06-29,"SFE-M-1S","SFE-M","1S",0.011,5.8015,0.00731,0.01831,20.33,NA,NA,8.374
2022-06-29,"SFE-M-3","SFE-M","3",0.011,5.812,0.00788,0.01888,23.6,NA,NA,9.793
2022-06-29,"SFE-M-4","SFE-M","4",0.013,7.008,0.005,0.018,25.43,NA,NA,10.132
2022-07-14,"SFE-M-1S","SFE-M","1S",0.017,5.353,0.00463,0.02163,21.71,223.3,NA,9.507
2022-07-14,"SFE-M-3","SFE-M","3",0.011,4.093,0.00516,0.01616,23.63,229.6,NA,10.255
2022-07-14,"SFE-M-4","SFE-M","4",0.017,6.021,0.00447,0.02147,25.72,236.2,NA,11.059
2022-07-28,"SFE-M-1S","SFE-M","1S",0.006,3.901,0.00291,0.00891,24.49,216.4,8.9,9.364
2022-07-28,"SFE-M-3","SFE-M","3",0.006,5.73,0.00335,0.00935,25.83,216.9,8.88,10.77
2022-07-28,"SFE-M-4","SFE-M","4",0.005,3.503,0.00338,0.00838,28.48,218.7,9.14,9.673
2022-08-10,"SFE-M-1S","SFE-M","1S",0.0325,3.7375,0.04816,0.08066,21.81,230.6,8.55,8.855
2022-08-10,"SFE-M-3","SFE-M","3",0.028,3.68,0.06271,0.09071,24.71,240.3,8.63,10.236
2022-08-10,"SFE-M-4","SFE-M","4",0.027,3.996,0.009035,0.036035,27.1,239.4,8.92,11.405
2022-08-23,"SFE-M-1S","SFE-M","1S",0.015,4.229,0.00766,0.02266,24.2,243.8,8.75,8.693
2022-08-23,"SFE-M-3","SFE-M","3",0.018,3.8,0.00769,0.02569,24.71,248.4,8.62,9.626
2022-08-23,"SFE-M-4","SFE-M","4",0.023,4.2415,0.007965,0.030965,27.38,236.8,8.85,11.773
2022-09-06,"SFE-M-1S","SFE-M","1S",0.024,6.473,0.00868,0.03268,22.466,NA,8.17,7.399
2022-09-06,"SFE-M-3","SFE-M","3",0.014,6.4115,0.006595,0.020595,24.115,NA,8.47,9.223
2022-09-06,"SFE-M-4","SFE-M","4",0.028,5.307,0.0112,0.0392,27.42,NA,8.74,11.245
2022-09-17,"SFE-M-1S","SFE-M","1S",0.023,5.342,0.00694,0.02994,19.96,251.2,7.97,7.813
2022-09-17,"SFE-M-3","SFE-M","3",0.015,5.058,0.00769,0.02269,19.66,246.7,8.37,9.033
2022-09-17,"SFE-M-4","SFE-M","4",0.017,4.968,0.01033,0.02733,20.64,248.6,8.53,10.759
2023-06-20,"SFE-M-1S","SFE-M","1S",0.04,4.474,0.00611,0.04611,19,215,8.11,9.09
2023-06-20,"SFE-M-2","SFE-M","2",0.0335,4.019,0.00696,0.04046,19.7,214,8.09,9.71
2023-06-20,"SFE-M-3","SFE-M","3",0.03,3.959,0.00445,0.03445,21.1,214,8.19,9.82
2023-06-20,"SFE-M-4","SFE-M","4",0.029,3.954,0.00524,0.03424,22,214,8.36,10.75
2023-06-25,"SFE-M-1S","SFE-M","1S",0.023,3.916,0.00485,0.02785,21.1,218,8.33,8.45
