field_date,year,site,reach,sample_type,ATX_all_ug_g,ATXa_ug_g,HTXa_ug_g,dhATXa_ug_g
6/29/22,2022,SFE-M,3,Microcoleus,0,0,0,0
6/29/22,2022,SFE-M,4,Microcoleus,0,0,0,0
6/29/22,2022,SFE-M,1S,Microcoleus,0,0,0,0
7/14/22,2022,SFE-M,3,Microcoleus,0,0,0,0
7/14/22,2022,SFE-M,1S,Microcoleus,0,0,0,0
7/28/22,2022,SFE-M,3,Microcoleus,0,0,0,0
7/28/22,2022,SFE-M,1S,Microcoleus,0.4097,0.4097,0,0
8/10/22,2022,SFE-M,3,Microcoleus,0.635,0.384,0,0.251
8/10/22,2022,SFE-M,4,Microcoleus,102.187,69.894,0,32.293
8/10/22,2022,SFE-M,1S,Microcoleus,4.365,3.754,0,0.611
8/23/22,2022,SFE-M,3,Microcoleus,0.861,0.861,0,0
8/23/22,2022,SFE-M,1S,Microcoleus,1.1006,0.7723,0,0.3283
9/6/22,2022,SFE-M,3,Microcoleus,0.33,0.198,0,0.132
9/6/22,2022,SFE-M,1S,Microcoleus,2.271,1.685,0,0.586
9/17/22,2022,SFE-M,3,Microcoleus,0.48,0.3467,0,0.1333
9/17/22,2022,SFE-M,1S,Microcoleus,2.288,1.877,0,0.411
7/3/23,2023,SFE-M,3,Microcoleus,0,0,0,0
7/10/23,2023,SFE-M,2,Microcoleus,0,0,0,0
7/10/23,2023,SFE-M,3,Microcoleus,0,0,0,0
7/10/23,2023,SFE-M,1S,Microcoleus,0,0,0,0
7/11/23,2023,SFE-M,1S,Microcoleus,0,0,0,0
7/17/23,2023,SFE-M,3,Microcoleus,0,0,0,0
7/17/23,2023,SFE-M,1S,Microcoleus,0,0,0,0
7/24/23,2023,SFE-M,2,Microcoleus,0,0,0,0
7/24/23,2023,SFE-M,3,Microcoleus,0.09,0.09,0,0
7/24/23,2023,SFE-M,1S,Microcoleus,0,0,0,0
7/31/23,2023,SFE-M,2,Microcoleus,0.081,0.081,0,0
7/31/23,2023,SFE-M,3,Microcoleus,0.313,0.268,0,0.045
7/31/23,2023,SFE-M,1S,Microcoleus,0.178,0.178,0,0
8/7/23,2023,SFE-M,2,Microcoleus,2.758,2.42,0,0.338
8/7/23,2023,SFE-M,3,Microcoleus,1.888,1.536,0,0.352
8/7/23,2023,SFE-M,4,Microcoleus,0.253,0.253,0,0
8/7/23,2023,SFE-M,1S,Microcoleus,0.3643,0.2943,0,0.07
8/14/23,2023,SFE-M,2,Microcoleus,1.932,1.643,0,0.289
8/14/23,2023,SFE-M,3,Microcoleus,6.6467,5.499,0,1.1477
8/14/23,2023,SFE-M,1S,Microcoleus,0.5315,0.482,0,0.0495
