field_date,site_reach,sample_type,slide_rep,date_analyzed,method,microcoleus,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,anabaena_and_cylindrospermum,geitlerinema,gloeotrichia,nostoc,calothrix,oscillatoria,scytonema,rivularia,unknown,lyngbya,phormidium_unknown,leptolyngbya,chroococcus,tolypothrix,nodularia,homoeothrix,aphanothece
7/12/22,SAL-1S,TM,Final,10/20/23,preserved,90.5,3,5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/22,SAL-1S,TM,Final,10/23/23,preserved,73,4,12,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/22,SAL-2,TM,Final,10/20/23,preserved,87,5,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/22,SAL-2,TM,Final,10/23/23,preserved,70,10,15,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/22,SAL-3,TM,1,11/17/23,preserved,50.8,40,5,0,1,1,0,2,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0
7/12/22,SAL-3,TM,2,11/17/23,preserved,47.9,42,7,0.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/22,SAL-3,TM,3,11/17/23,preserved,46,45,5,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/22,SAL-3,TM,Final,10/23/23,preserved,81,6,8,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/22,SFE-M-1S,TM,Final,10/3/23,preserved,80,2,2,3,1,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/22,SFE-M-1S,TM,Final,10/23/23,preserved,69.9,6,5,5,2,2,5,0,0,5,0,0,0,0,0,0,0,0,0.1,0,0,0,0
7/28/22,SFE-M-1S,TM,Final,10/24/23,preserved,60,2,2,12,4,5,10,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8/10/22,SFE-M-1S,TM,Final,10/25/23,preserved,65.9,5,6,6,3,3,3,8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
8/23/22,SFE-M-1S,TM,Final,10/31/23,preserved,68,5,10,4,3,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/8/22,SFE-M-1S,TM,Final,11/1/23,preserved,66.9,9,4,6,3,6,1,4,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
9/17/22,SFE-M-1S,TM,Final,11/1/23,preserved,56,9,3,5,10,8,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
