field_date,site_reach,site,reach,sample_type,ATXa_ug_g,dhATXa_ug_g,HTXa_ug_g,ATX_all_ug_g,Chla_ug_g,Pheo_ug_g,per_org_matter,ATX_all_ug_chla_ug,ATX_all_ug_afdm_g
2022-07-14,SFE-M-3,SFE-M,3,TM,0,0,0,0,7984.72079,NA,0.57,0,0
2022-06-29,SFE-M-3,SFE-M,3,TM,0,0,0,0,7984.72079,93.82304098,0.18,0,0
2022-06-29,SFE-M-4,SFE-M,4,TM,0,0,0,0,4894.783359,30.0269389,0.18,0,0
2022-07-12,SAL-1S,SAL,1S,TM,0,0,0,0,4926.090016,96.35325901,0.459,0,0
2022-07-12,SAL-2,SAL,2,TM,0,0,0,0,4582.286237,138.0702181,0.49,0,0
2022-07-12,SAL-3,SAL,3,TM,0,0,0,0,6410.157875,37.90923248,0.76,0,0
2022-07-14,SFE-M-1S,SFE-M,1S,TM,0,0,0,0,5753.538754,35.19765232,0.76,0,0
2022-07-26,SAL-2,SAL,2,TM,0,0,0,0,3762.423615,173.3267795,0.44,0,0
2022-07-26,SAL-3,SAL,3,TM,0,0,0,0,5239.139706,220.1229932,0.67,0,0
2022-07-28,SFE-M-3,SFE-M,3,TM,0,0,0,0,8896.938678,86.60114938,0.71,0,0
2022-08-10,SFE-M-1S,SFE-M,1S,TM,3.754,0.611,0,4.365,9094.643062,70.21739434,0.718,0.00048,6.0793872
2022-08-10,SFE-M-3,SFE-M,3,TM,0.384,0.251,0,0.635,9451.424006,20.57506382,0.79,6.72E-05,0.8037975
2022-08-10,SFE-M-4,SFE-M,4,TM,69.894,32.293,0,102.187,5310.078585,1071.603101,0.43,0.019244,237.644186
2022-08-23,SFE-M-3,SFE-M,3,TM,0.861,0,0,0.861,9084.642868,428.6519181,0.718,9.48E-05,1.1991643
2022-09-06,SFE-M-3,SFE-M,3,TM,0.198,0.132,0,0.33,8003.007408,241.753703,0.636,4.12E-05,0.5188679
2022-09-08,SFE-M-1S,SFE-M,1S,TM,1.685,0.586,0,2.271,5159.959759,487.2145392,0.71,0.0004401,3.1985915
2022-09-17,SFE-M-1S,SFE-M,1S,TM,1.877,0.411,0,2.288,5867.935259,706.7792574,0.7,0.0003899,3.2685714
2022-07-14,SFE-M-1S,SFE-M,1S,TAC,0.781,0,0,0.781,3234.07963,963.0769984,0.38,0.0002415,2.0552632
2022-07-14,SFE-M-4,SFE-M,4,TAC,0.228,0,0,0.228,2793.428504,1126.914582,0.37,8.16E-05,0.6162162
2022-07-20,RUS-1S,RUS,1S,TAC,0,0,0,0,2963.280183,411.7434969,0.27,0,0
2022-07-20,RUS-3,RUS,3,TAC,0,0,0,0,3299.083977,400.9768236,0.38,0,0
2022-07-28,SFE-M-3,SFE-M,3,TAC,4.279,0.44,0,4.719,8248.481414,1348.807556,0.49,0.0005721,9.6306122
2022-08-02,RUS-1S,RUS,1S,TAC,0,0,0.113,0.113,3661.898235,1107.400134,0.38,3.09E-05,0.2973684
2022-08-02,RUS-2,RUS,2,TAC,0,0,0,0,4418.244681,403.8853825,0.31,0,0
2022-08-02,RUS-3,RUS,3,TAC,0,0,0,0,4091.494881,827.6457219,0.318,0,0
2022-08-10,SFE-M-1S,SFE-M,1S,TAC,72.138,21.935,0,94.073,8522.116649,793.7738014,0.61,0.0110387,154.2180328
2022-08-10,SFE-M-3,SFE-M,3,TAC,1.894,0.151,0,2.045,5553.042357,677.6955694,0.46,0.0003683,4.4456522
2022-08-10,SFE-M-4,SFE-M,4,TAC,32.582,11.15,0,43.732,3005.423851,1040.92706,0.46,0.014551,95.0695652
2022-08-17,RUS-1S,RUS,1S,TAC,0,0,0,0,3921.183432,979.2207142,0.25,0,0
2022-08-17,RUS-2,RUS,2,TAC,0,0,0,0,3093.795006,486.3517002,0.29,0,0
2022-08-17,RUS-3,RUS,3,TAC,0,0.239,0,0.239,4883.712664,590.1709376,0.33,4.89E-05,0.7242424
2022-08-23,SFE-M-3,SFE-M,3,TAC,0.601,0.178,0,0.779,4303.949924,804.2869405,0.46,0.000181,1.6934783
2022-09-01,RUS-1S,RUS,1S,TAC,0,0.292,0,0.292,1468.965661,628.74325,0.23,0.0001988,1.2695652
2022-09-01,RUS-2,RUS,2,TAC,0,0.17,0,0.17,2029.192042,557.2042425,0.24,8.38E-05,0.7083333
2022-09-06,SFE-M-1S,SFE-M,1S,TAC,0,0,0,0,2227.166831,673.3664664,0.45,0,0
2022-09-15,RUS-1S,RUS,1S,TAC,0.463,0.526,0,0.989,2757.728851,520.8944596,0.236,0.0003586,4.190678
2022-09-15,RUS-2,RUS,2,TAC,0,0,0,0,1604.478783,614.3313457,0.2,0,0
2022-09-17,SFE-M-1S,SFE-M,1S,TAC,0,0,0,0,1736.661335,1111.82134,0.46,0,0
2022-09-22,SAL-3,SAL,3,TAC,0,0,0,0,2249.715626,1155.620403,0.385,0,0
2023-06-28,SAL-3,SAL,3,TM,0,0,0,0,866.7796136,11.69629877,0.1,0,0
2023-07-03,SFE-M-3,SFE-M,3,TM,0,0,0,0,6720.418089,381.6502262,0.67,0,0
2023-07-10,SFE-M-1S,SFE-M,1S,TM,0,0,0,0,7009.153296,703.8370838,0.88,0,0
2023-07-10,SFE-M-2,SFE-M,2,TM,0,0,0,0,1197.957521,14.03667923,0.06,0,0
2023-07-11,SFE-SH-1S,SFE-SH,1S,TM,0,0,0,0,6161.104493,292.6743854,0.69,0,0
2023-07-13,SAL-2,SAL,2,TM,0,0,0,0,1689.309468,104.8225283,0.2,0,0
2023-07-13,SAL-3,SAL,3,TM,0,0,0,0,1896.815144,123.2269134,0.27,0,0
2023-07-17,SFE-SH-1S,SFE-SH,1S,TM,0,0,0,0,9916.969104,217.2293274,0.66,0,0
2023-07-17,SFE-M-1S,SFE-M,1S,TM,0,0,0,0,9562.300038,715.2150095,0.71,0,0
2023-07-24,SFE-SH-1S,SFE-SH,1S,TM,0,0,0,0,5568.80173,132.9353728,0.64,0,0
2023-07-24,SFE-M-1S,SFE-M,1S,TM,0,0,0,0,10104.02119,552.287875,0.71,0,0
2023-07-24,SFE-M-2,SFE-M,2,TM,0,0,0,0,2235.941406,40.74935431,0.16,0,0
2023-07-24,SFE-M-3,SFE-M,3,TM,0.09,0,0,0.09,5532.100939,54.09065926,0.628,1.63E-05,0.1433121
2023-07-27,SAL-1S,SAL,1S,TM,0,0,0,0,2224.051297,23.44647933,0.2,0,0
2023-07-27,SAL-2,SAL,2,TM,0,0,0,0,2218.002643,55.2418456,0.28,0,0
2023-07-27,SAL-3,SAL,3,TM,0,0,0,0,2088.61777,13.76970341,0.33,0,0
2023-07-31,SFE-SH-1S,SFE-SH,1S,TM,0.131,0,0,0.131,4258.221315,262.2567894,0.68,3.08E-05,0.1926471
2023-07-31,SFE-M-2,SFE-M,2,TM,0.081,0,0,0.081,6339.63167,537.497562,0.26,1.28E-05,0.3115385
2023-07-31,SFE-M-3,SFE-M,3,TM,0.268,0.045,0,0.313,9072.428032,156.08871,0.77,3.45E-05,0.4064935
2023-08-07,SFE-M-2,SFE-M,2,TM,2.42,0.338,0,2.758,8051.157672,233.2512709,0.37,0.0003426,7.4540541
2023-08-07,SFE-M-3,SFE-M,3,TM,1.536,0.352,0,1.888,7889.589809,31.19771671,0.68,0.0002393,2.7764706
2023-08-07,SFE-M-4,SFE-M,4,TM,0.253,0,0,0.253,1136.903195,62.74316593,0.09,0.0002225,2.8111111
2023-08-10,SAL-2,SAL,2,TM,0,0,0,0,2926.283018,170.5062964,0.32,0,0
2023-08-10,SAL-3,SAL,3,TM,0,0,0,0,3410.333376,157.5332263,0.39,0,0
2023-08-14,SFE-SH-1S,SFE-SH,1S,TM,0,0,0,0,13416.98636,339.2105964,0.75,0,0
2023-08-14,SFE-M-1S,SFE-M,1S,TM,0.964,0.099,0,1.063,8783.805855,556.0834731,0.75,0.000121,1.4173333
2023-08-14,SFE-M-2,SFE-M,2,TM,1.643,0.289,0,1.932,19844.6374,1520.032774,0.59,9.74E-05,3.2745763
2023-08-22,SFE-SH-1S,SFE-SH,1S,TM,1.421,0.29,0,1.711,19096.42919,2006.177981,0.77,8.96E-05,2.2220779
2023-08-22,SFE-M-1S,SFE-M,1S,TM,3.252,0.582,0,3.834,13362.68651,816.8571471,0.68,0.0002869,5.6382353
2023-08-22,SFE-M-2,SFE-M,2,TM,14.72,2.57,0,17.29,15312.43666,182.6909972,0.56,0.0011291,30.875
2023-08-22,SFE-M-4,SFE-M,4,TM,83.438,15.628,0,99.066,6849.349743,781.1432342,0.4,0.0144636,247.665
2023-08-28,SFE-M-1S,SFE-M,1S,TM,4.352,0.966,0,5.318,13907.59852,19.95400472,0.73,0.0003824,7.2849315
2023-08-28,SFE-M-2,SFE-M,2,TM,14.081,2.529,0,16.61,12178.06371,599.2076257,0.48,0.0013639,34.6041667
2023-08-28,SFE-M-3,SFE-M,3,TM,17.336,3.198,0,20.534,8164.375869,2572.674707,0.79,0.0025151,25.9924051
2023-09-04,SFE-SH-1S,SFE-SH,1S,TM,7.714,1.961,0,9.675,13816.22477,399.4393213,0.8,0.0007003,12.09375
2023-09-04,SFE-M-2,SFE-M,2,TM,16,2.032,0,18.032,14585.05081,1601.579924,0.44,0.0012363,40.9818182
2023-09-04,SFE-M-3,SFE-M,3,TM,22.963,2.867,0,25.83,13876.89219,6.900215008,0.73,0.0018614,35.3835616
2023-09-04,SFE-M-4,SFE-M,4,TM,1.699,0.238,0,1.937,5482.532935,26.01598121,0.34,0.0003533,5.6970588
2023-09-12,SFE-SH-1S,SFE-SH,1S,TM,4.583,0.561,0,5.144,4588.127968,6374.050127,0.77,0.0011212,6.6805195
2023-09-12,SFE-SH-1S,SFE-SH,1S,TM,4.583,0.561,0,5.144,11246.66491,998.9514977,0.77,0.0004574,6.6805195
2023-09-12,SFE-M-1S,SFE-M,1S,TM,11.952,1.078,0,13.03,9276.376365,1040.5714,0.76,0.0014046,17.1447368
2023-09-12,SFE-M-1S,SFE-M,1S,TM,11.952,1.078,0,13.03,16315.45605,2465.77041,0.76,0.0007986,17.1447368
2023-09-12,SFE-M-3,SFE-M,3,TM,18.323,1.667,0,19.99,22668.33455,1510.879204,0.73,0.0008818,27.3835616
2023-09-12,SFE-M-4,SFE-M,4,TM,1.157,0.095,0,1.252,10580.9156,1362.495782,0.46,0.0001183,2.7217391
2023-09-18,SFE-SH-1S,SFE-SH,1S,TM,7.295,1.009,0,8.304,14109.59565,1550.599214,0.79,0.0005885,10.5113924
2023-09-18,SFE-M-1S,SFE-M,1S,TM,36.812,4.958,0,41.77,14594.06116,861.0568831,0.75,0.0028621,55.6933333
2023-09-18,SFE-M-2,SFE-M,2,TM,5.437,0.458,0,5.895,14676.10698,324.8887711,0.55,0.0004017,10.7181818
2023-09-18,SFE-M-3,SFE-M,3,TM,11.662,1.148,0,12.81,13353.8612,153.5749577,0.74,0.0009593,17.3108108
2023-09-24,SFE-SH-1S,SFE-SH,1S,TM,6.946,0.705,0,7.651,10386.24856,1911.70752,0.81,0.0007366,9.445679
2023-09-24,SFE-M-1S,SFE-M,1S,TM,11.87,1.375,0,13.245,14913.55573,264.9677561,0.79,0.0008881,16.7658228
2023-09-24,SFE-M-3,SFE-M,3,TM,5.312,0.326,0,5.638,16078.23464,34.06158091,0.76,0.0003507,7.4184211
2023-09-24,SFE-M-4,SFE-M,4,TM,0.101,0,0,0.101,15267.92875,944.3872669,0.61,6.60E-06,0.1655738
2023-07-10,SFE-M-1S,SFE-M,1S,TAC,0,0,0,0,8228.767036,305.5418106,0.64,0,0
2023-07-10,SFE-M-4,SFE-M,4,TAC,0.042,0,0,0.042,2607.451207,216.3868864,0.67,1.61E-05,0.0626866
2023-07-17,SFE-M-4,SFE-M,4,TAC,0.015,0,0,0.015,3383.521744,480.8857367,0.41,4.40E-06,0.0365854
2023-07-24,SFE-SH-1S,SFE-SH,1S,TAC,0.165,0,0,0.165,5583.309313,479.884312,0.5,2.96E-05,0.33
2023-07-24,SFE-M-1S,SFE-M,1S,TAC,0.083,0.049,0,0.132,4811.334966,751.4925536,0.4,2.74E-05,0.33
2023-07-24,SFE-M-2,SFE-M,2,TAC,1.423,0.165,0,1.588,4815.921295,404.7820049,0.33,0.0003297,4.8121212
2023-07-24,SFE-M-3,SFE-M,3,TAC,0.026,0.062,0,0.088,3245.499822,158.2253349,0.32,2.71E-05,0.275
2023-07-24,SFE-M-4,SFE-M,4,TAC,0.605,0.173,0,0.778,3720.587301,709.4391393,0.39,0.0002091,1.9948718
2023-07-31,SFE-SH-1S,SFE-SH,1S,TAC,0.12,0.096,0,0.216,5531.738453,529.6716347,0.69,3.90E-05,0.3130435
2023-07-31,SFE-M-2,SFE-M,2,TAC,4.227,0.792,0,5.019,4001.809996,370.7581422,0.34,0.0012542,14.7617647
2023-07-31,SFE-M-3,SFE-M,3,TAC,0.588,0.175,0,0.763,4580.977553,569.5955769,0.42,0.0001666,1.8166667
2023-07-31,SFE-M-4,SFE-M,4,TAC,3.862,1.126,0,4.988,6844.788871,958.0344831,0.42,0.0007287,11.8761905
2023-08-07,SFE-SH-1S,SFE-SH,1S,TAC,1.587,0.281,0,1.868,5636.668476,532.7084037,0.54,0.0003314,3.4592593
2023-08-07,SFE-M-2,SFE-M,2,TAC,1.144,0.088,0,1.232,1685.680297,96.51665034,0.13,0.0007309,9.4769231
2023-08-07,SFE-M-3,SFE-M,3,TAC,4.13,0.683,0,4.813,3564.797808,384.7698873,0.45,0.0013501,10.6955556
2023-08-07,SFE-M-4,SFE-M,4,TAC,34.248,4.34,0,38.588,5999.309419,243.6034567,0.44,0.0064321,87.7
