ESF,Sample,Date,Type,Total_ATXs,Det_ATXs,Total_CYL,Det_CYL,Total_MCs,Det_MCs,ATX,dhATX,HTX,dhHTX,Total_ATXs2,,,,,,
25-013,South ,8/21/2024,P,nd,0.113,nd,0.093,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-014,East,8/21/2024,P,nd,0.119,nd,0.099,0.38*,0.05,nd,nd,nd,nd,nd,,,,,,
25-015,Red-1,8/21/2024,P,nd,0.108,nd,0.09,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-016,Etna - Green ,8/22/2024,P,nd,0.128,nd,0.106,nd,0.06,nd,nd,nd,nd,nd,,,,,,
25-017,Etna,8/22/2024,P,nd,0.119,nd,0.099,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-018,Black -2,8/22/2024,P,0.094,0.114,nd,0.095,nd,0.05,nd,0.094,nd,nd,0.094,,,,,,
25-019,Shack -Up,8/22/2024,P,nd,0.15,nd,0.124,nd,0.06,nd,nd,nd,nd,nd,,,,,,
25-020,Kid-Down ,8/23/2024,P,0.144,0.118,nd,0.098,nd,0.05,nd,0.144,nd,nd,0.144,,,,,,
25-021,Kid-Up,8/23/2024,P,0.624,0.115,nd,0.095,nd,0.05,nd,0.624,nd,nd,0.624,,,,,,
25-022,Canyon ,8/24/2024,P,nd,0.158,nd,0.131,nd,0.07,nd,nd,nd,nd,nd,,,,,,
25-023,Kelsey ,8/24/2024,P,nd,0.115,nd,0.095,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-024,Mill,8/24/2024,P,nd,0.111,nd,0.092,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-025,Town -5,8/24/2024,P,nd,0.109,nd,0.09,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-026,Klam -6,8/25/2024,P,0.47,0.112,nd,0.093,nd,0.05,nd,0.119,0.078,0.078,0.47,,,,,,
25-027,Jones -4,8/25/2024,P,nd,0.111,nd,0.092,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-028,Eel-4S,10/10/2024,P,nd,0.121,nd,0.1,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-029,Eel-4S,9/14/2024,P,nd,0.119,nd,0.098,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-030,Eel-4S,9/14/2024,P,0.022,0.121,nd,0.101,nd,0.05,nd,0.022,nd,nd,0.022,,,,,,
25-031,Eel-BUG ,9/14/2024,P,nd,0.121,nd,0.101,nd,0.05,nd,nd,nd,nd,nd,,,,,,
25-032,Eel-BUG EXT 2 ,9/14/2024,P,0.098,0.155,nd,0.128,nd,0.07,nd,0.098,nd,nd,0.098,,,,,,
25-033,Eel_BUG EXT 3 ,9/14/2024,P,nd,0.147,nd,0.122,nd,0.06,nd,nd,nd,nd,nd,,,,,,
25-034,Eel-BUG ,9/14/2024,P,0.051,0.109,nd,0.09,nd,0.05,nd,0.051,nd,nd,0.051,,,,,,
