field_date,site_reach,site,reach,green_algae,microcoleus,anabaena_cylindrospermum,bare_biofilm,other_nfixers,micro_transects,ana_cyl_transects,total_transects,proportion_micro_transects,proportion_ana_cyl_transects
6/24/22,RUS-1S,RUS,1S,38.18181818,0,0,61.81818182,0,0,0,11,0,0
7/6/22,RUS-1S,RUS,1S,20,0,0,80,0,0,0,11,0,0
7/20/22,RUS-1S,RUS,1S,48.09090909,0,0.181818182,51.72727273,0,0,6,11,0,0.545454545
8/2/22,RUS-1S,RUS,1S,59.63636364,0,0.272727273,40.09090909,0,0,5,11,0,0.454545455
8/17/22,RUS-1S,RUS,1S,95.45454545,0,1.636363636,2.909090909,0,0,9,11,0,0.818181818
9/1/22,RUS-1S,RUS,1S,46.72727273,0,7.454545455,45.81818182,0,0,11,11,0,1
9/15/22,RUS-1S,RUS,1S,40.90909091,0,2.363636364,56.72727273,0,0,9,11,0,0.818181818
7/6/22,RUS-2,RUS,2,46.36363636,0,0,53.63636364,0,0,0,11,0,0
7/20/22,RUS-2,RUS,2,59.45454545,0,0,40.54545455,0,0,3,11,0,0.272727273
8/2/22,RUS-2,RUS,2,56.09090909,0,0,43.90909091,0,0,3,11,0,0.272727273
8/17/22,RUS-2,RUS,2,43.45454545,0,0.090909091,56.45454545,0,0,6,11,0,0.545454545
9/1/22,RUS-2,RUS,2,35,0,5,60,0,0,4,11,0,0.363636364
9/15/22,RUS-2,RUS,2,32.18181818,0,3.727272727,64.09090909,0,0,6,11,0,0.545454545
7/7/22,RUS-3,RUS,3,40.45454545,0,0,59.54545455,0,0,0,11,0,0
7/20/22,RUS-3,RUS,3,55.27272727,0,0,44.72727273,0,0,4,11,0,0.363636364
8/2/22,RUS-3,RUS,3,63.45454545,0,0,36.54545455,0,0,5,11,0,0.454545455
8/17/22,RUS-3,RUS,3,48.18181818,0,0,51.81818182,0,0,5,11,0,0.454545455
9/1/22,RUS-3,RUS,3,51,0,2.272727273,46.72727273,0,0,3,11,0,0.272727273
