date,year,site,mat,pcr_samp_present,sample,samp_rerun,DNA_conc_ng_uL,DNA_conc_rerun,ana_C/uL,ana_C/uL_rerun,nif/uL,nif/uL_rerun,ATX_all_ug_g,ATXa_ug_g,HTXa_ug_g,dhATXa_ug_g,org_matter_percent,Notes,UNR_Notes
6/20/23,2023,2,Microcoleus,Y,,57,,91.7,,289,,13807,,,,,,,
6/20/23,2023,3,Microcoleus,N,,,,,,,,,,,,,,,
6/20/23,2023,4,Microcoleus,N,,,,,,,,,,,,,,,
6/20/23,2023,1S,Microcoleus,N,,,,,,,,,,,,,,,
6/25/23,2023,2,Microcoleus,N,,,,,,,,,,,,,,,
6/25/23,2023,3,Microcoleus,N,,,,,,,,,,,,,,,
6/25/23,2023,4,Microcoleus,Y,,59,,122,,1049,,661,,,,,,,
6/25/23,2023,1S,Microcoleus,Y,,22,,69.7,,380,,3453,,,,,,,
7/3/23,2023,2,Microcoleus,N,,,,,,,,,,,,,,,
7/3/23,2023,3,Microcoleus,Y,,27,,85,,738,,4047,bdl,bdl,bdl,bdl,0.67,,
7/3/23,2023,4,Microcoleus,N,,,,,,,,,,,,,,,
7/3/23,2023,1S,Microcoleus,Y,,38,,63.1,,25.8,,777,,,,,,,
7/10/23,2023,2,Microcoleus,Y,,37,,,,NA,,NA,bdl,bdl,bdl,bdl,0.06,Rerun Bad Quality,
7/10/23,2023,3,Microcoleus,Y,9,,83,,7.98,,168,,bdl,bdl,bdl,bdl,0.85,,
7/10/23,2023,4,Microcoleus,N,,,,,,,,,,,,,,,
7/10/23,2023,1S,Microcoleus,Y,,43,,40.9,,15.9,,45.3,bdl,bdl,bdl,bdl,0.88,,
7/17/23,2023,2,Microcoleus,N,,,,,,,,,,,,,,,
7/17/23,2023,3,Microcoleus,Y,6,,51,,30.3,,115,,bdl,bdl,bdl,bdl,0.699,,
7/17/23,2023,4,Microcoleus,N,,,,,,,,,,,,,,,
7/17/23,2023,1S,Microcoleus,Y,,48,,NA,,NA,,NA,bdl,bdl,bdl,bdl,0.71,Rerun Empty,
7/24/23,2023,2,Microcoleus,Y,8,,78,,10.7,,1108,,bdl,bdl,bdl,bdl,0.16,,
7/24/23,2023,3,Microcoleus,Y,10,,52,,866,,2313,,0.09,0.09,bdl,bdl,0.628,,
7/24/23,2023,4,Microcoleus,Y,,9,,120,,13777,,5096,,,,,,,
7/24/23,2023,1S,Microcoleus,Y,4,,38,,30.4,,158,,bdl,bdl,bdl,bdl,0.71,,
7/31/23,2023,2,Microcoleus,Y,,80,,75.3,,0,,0,0.081,0.081,bdl,bdl,0.26,,
7/31/23,2023,3,Microcoleus,Y,15,96,28,99.8,NA,0,NA,0,0.313,0.268,bdl,0.045,0.77,,
7/31/23,2023,4,Microcoleus,Y,85,,67,,48598,,3917,,,,,,,,
7/31/23,2023,1S,Microcoleus,Y,12,75,48,54,NA,0,NA,0,0.178,0.178,bdl,bdl,0.704,,
8/7/23,2023,2,Microcoleus,Y,20,86,98,64.8,NA,4857,NA,0,2.758,2.42,bdl,0.338,0.37,,
8/7/23,2023,3,Microcoleus,Y,19,148,35,199,NA,0,NA,0,1.888,1.536,bdl,0.352,0.68,,
8/7/23,2023,4,Microcoleus,Y,127,,61.8,,2210,,1452,,0.253,0.253,bdl,bdl,0.09,,
8/7/23,2023,1S,Microcoleus,Y,16,77,19,88.7,NA,0,NA,0,0.3643,0.2943,bdl,0.07,0.69,,
8/14/23,2023,2,Microcoleus,Y,23,,87,,141,,0,,1.932,1.643,bdl,0.289,0.59,,
8/14/23,2023,3,Microcoleus,Y,13,102,63,82.4,NA,0,NA,0,6.6467,5.499,bdl,1.1477,0.751,,
8/14/23,2023,4,Microcoleus,Y,,145,,131.5,,2700,,3047,,,,,,,
8/14/23,2023,1S,Microcoleus,Y,21,120,74,NA,0,NA,NA,NA,0.5315,0.482,bdl,0.0495,0.75,Rerun Bad Quality,
8/22/23,2023,2,Microcoleus,Y,22,,90,,3.37,,0,,17.29,14.72,bdl,2.57,0.56,,
8/22/23,2023,3,Microcoleus,Y,27,110,116,154.9,NA,0,NA,0,7.3623,6.2913,bdl,1.071,0.76,,
8/22/23,2023,4,Microcoleus,Y,,111,,95,,7161,,0,99.066,83.438,bdl,15.628,0.4,,
8/22/23,2023,1S,Microcoleus,Y,26,109,26,NA,18465,NA,NA,NA,2.7725,2.3365,bdl,0.436,0.68,Rerun Bad Quality,
8/24/23,2023,2,Microcoleus,Y,34,,49,,0,,0,,,,,,,,"PCR site had ""gravel"" in name. Do not use for analysis"
8/24/23,2023,3,Microcoleus,N,,,,,,,,,,,,,,,Do not use for analysis
8/24/23,2023,4,Microcoleus,N,,,,,,,,,,,,,,,Do not use for analysis
8/24/23,2023,1S,Microcoleus,N,,,,,,,,,,,,,,,Do not use for analysis
8/28/23,2023,2,Microcoleus,Y,32,167,116,68,0,4930,NA,3327,16.61,14.081,bdl,2.529,0.48,,
8/28/23,2023,3,Microcoleus,Y,31,,19,,0,,0,,,,,,,,"PCR site had ""floating"" in name. Do not use for analysis"
8/28/23,2023,3,Microcoleus,Y,36,,97,,53951,,4798,,20.534,17.336,bdl,3.198,0.79,,
8/28/23,2023,4,Microcoleus,Y,,163,,117.4,,4302,,78.3,,,,,,,
8/28/23,2023,1S,Microcoleus,Y,25,,82,,179,,237,,6.252,5.09085,bdl,1.16115,0.73,,
9/4/23,2023,2,Microcoleus,Y,37,,86,,85.1,,0,,18.032,16,bdl,2.032,0.44,,
9/4/23,2023,3,Microcoleus,Y,38,,31,,43.9,,0,,25.83,22.963,bdl,2.867,0.73,,
