date,year,site,mat,sample,samp_rerun,DNA_conc_ng_uL,DNA_conc_rerun,ana_C/uL,ana_C/uL_rerun,nif/uL,nif/uL_rerun,Notes
6/20/23,2023,2,Microcoleus,NA,57,NA,91.7,NA,289,NA,13807,
6/20/23,2023,3,Microcoleus,NA,,NA,,NA,NA,NA,NA,
6/20/23,2023,4,Microcoleus,NA,,NA,,NA,NA,NA,NA,
6/20/23,2023,1S,Microcoleus,NA,,NA,,NA,NA,NA,NA,
6/25/23,2023,2,Microcoleus,NA,,NA,,NA,NA,NA,NA,
6/25/23,2023,3,Microcoleus,NA,,NA,,NA,NA,NA,NA,
6/25/23,2023,4,Microcoleus,NA,59,NA,122,NA,1049,NA,661,
6/25/23,2023,1S,Microcoleus,NA,22,NA,69.7,NA,380,NA,3453,
7/3/23,2023,2,Microcoleus,NA,,NA,,NA,NA,NA,NA,
7/3/23,2023,3,Microcoleus,NA,27,NA,85,NA,738,NA,4047,
7/3/23,2023,4,Microcoleus,NA,,NA,,NA,NA,NA,NA,
7/3/23,2023,1S,Microcoleus,NA,38,NA,63.1,NA,25.8,NA,777,
7/10/23,2023,2,Microcoleus,NA,37,NA,,NA,NA,NA,NA,Rerun Bad Quality
7/10/23,2023,3,Microcoleus,9,,83,,7.98,NA,168,NA,
7/10/23,2023,4,Microcoleus,NA,,NA,,NA,NA,NA,NA,
7/10/23,2023,1S,Microcoleus,NA,43,NA,40.9,NA,15.9,NA,45.3,
7/17/23,2023,2,Microcoleus,NA,,NA,,NA,NA,NA,NA,
7/17/23,2023,3,Microcoleus,6,,51,,30.3,NA,115,NA,
7/17/23,2023,4,Microcoleus,NA,,NA,,NA,NA,NA,NA,
7/17/23,2023,1S,Microcoleus,NA,48,NA,,NA,NA,NA,NA,Rerun Empty
7/24/23,2023,2,Microcoleus,8,,NA,,10.7,NA,NA,NA,
7/24/23,2023,3,Microcoleus,10,,52,,866,NA,2313,NA,
7/24/23,2023,4,Microcoleus,NA,9,NA,120,NA,13777,NA,5096,
7/24/23,2023,1S,Microcoleus,4,,38,,30.4,NA,158,NA,
7/31/23,2023,2,Microcoleus,NA,80,NA,75.3,NA,0,NA,0,
7/31/23,2023,3,Microcoleus,15,96,28,99.8,NA,0,NA,0,
7/31/23,2023,4,Microcoleus,85,,67,,48598,NA,3917,NA,
7/31/23,2023,1S,Microcoleus,12,75,48,54,NA,0,NA,0,
8/7/23,2023,2,Microcoleus,20,86,98,64.8,NA,4857,NA,0,
8/7/23,2023,3,Microcoleus,19,148,35,199,NA,0,NA,0,
8/7/23,2023,4,Microcoleus,127,,61.8,,2210,NA,1452,NA,
8/7/23,2023,1S,Microcoleus,16,77,19,88.7,NA,0,NA,0,
8/14/23,2023,2,Microcoleus,23,,87,,141,NA,0,NA,
8/14/23,2023,3,Microcoleus,13,102,63,82.4,NA,0,NA,0,
8/14/23,2023,4,Microcoleus,NA,145,NA,131.5,NA,2700,NA,3047,
8/14/23,2023,1S,Microcoleus,21,120,74,NA,0,NA,NA,NA,Rerun Bad Quality
8/22/23,2023,2,Microcoleus,22,,90,,3.37,NA,0,NA,
8/22/23,2023,3,Microcoleus,27,110,116,154.9,NA,0,NA,0,
8/22/23,2023,4,Microcoleus,NA,111,NA,95,NA,7161,NA,0,
8/22/23,2023,1S,Microcoleus,26,109,26,NA,18465,NA,NA,NA,Rerun Bad Quality
8/24/23,2023,2,Microcoleus,34,,49,,0,NA,0,NA,"Site had ""gravel"" in the name. Taken on same week as 8/22"
8/24/23,2023,3,Microcoleus,NA,,NA,,NA,NA,NA,NA,Taken on same week as 8/22
8/24/23,2023,4,Microcoleus,NA,,NA,,NA,NA,NA,NA,Taken on same week as 8/22
8/24/23,2023,1S,Microcoleus,NA,,NA,,NA,NA,NA,NA,Taken on same week as 8/22
8/28/23,2023,2,Microcoleus,32,167,116,68,0,4930,NA,3327,
8/28/23,2023,3,Microcoleus,31,,19,,0,NA,0,NA,"Site had ""floating"" in the name"
8/28/23,2023,3,Microcoleus,36,,97,,53951,NA,4798,NA,
8/28/23,2023,4,Microcoleus,NA,163,NA,117.4,NA,4302,NA,78.3,
8/28/23,2023,1S,Microcoleus,25,,82,,179,NA,237,NA,
9/4/23,2023,2,Microcoleus,37,,86,,85.1,NA,0,NA,
9/4/23,2023,3,Microcoleus,38,,31,,43.9,NA,0,NA,
9/4/23,2023,4,Microcoleus,NA,156,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/4/23,2023,1S,Microcoleus,33,,38,,72074,NA,448,NA,
9/12/23,2023,2,Microcoleus,41,159,115,114.2,6.38,6388,NA,0,
9/12/23,2023,3,Microcoleus,40,158,43,105.5,5404,0,NA,0,
9/12/23,2023,4,Microcoleus,44,153,36,57.3,0,20904,NA,892,
9/12/23,2023,1S,Microcoleus,42,169,50,NA,1772,NA,NA,NA,Rerun Bad Quality
9/18/23,2023,2,Microcoleus,43,174,63,NA,427,NA,NA,NA,Rerun Bad Quality
9/18/23,2023,3,Microcoleus,48,183,18,114.5,103,0,NA,0,
9/18/23,2023,4,Microcoleus,47,187,22,96.1,0,22269,NA,581,
9/18/23,2023,1S,Microcoleus,45,196,52,55.7,8259,760,NA,1269,
9/24/23,2023,2,Microcoleus,51,186,64,130,41816,3870,NA,2513,
9/24/23,2023,3,Microcoleus,52,198,24,NA,NA,NA,NA,NA,Rerun Bad Quality
9/24/23,2023,4,Microcoleus,53,201,8,105.1,472,10769,NA,150,
9/24/23,2023,1S,Microcoleus,49,181,129,NA,66,NA,NA,NA,Rerun Bad Quality
7/10/23,2023,2,Anabaena,NA,31,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
7/10/23,2023,3,Anabaena,NA,16,NA,NA,NA,NA,NA,NA,Rerun Empty
7/10/23,2023,4,Anabaena,NA,2,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
7/10/23,2023,1S,Anabaena,NA,47,NA,58.1,NA,0,NA,870,
7/17/23,2023,2,Anabaena,NA,13,NA,43,NA,5178,NA,6690,
7/17/23,2023,3,Anabaena,NA,34,NA,127.8,NA,3768,NA,17670,
7/17/23,2023,4,Anabaena,NA,53,NA,84.6,NA,0,NA,1299,
7/17/23,2023,1S,Anabaena,NA,11,NA,83.4,NA,110.5,NA,255,
7/24/23,2023,2,Anabaena,NA,54,NA,148.5,NA,754,NA,22976,
7/24/23,2023,3,Anabaena,NA,12,NA,65.2,NA,0,NA,0,
7/24/23,2023,4,Anabaena,NA,24,NA,59.9,NA,0,NA,0,
7/24/23,2023,1S,Anabaena,NA,NA,NA,NA,NA,NA,NA,NA,
7/31/23,2023,2,Anabaena,NA,76,NA,159,NA,0,NA,0,
7/31/23,2023,3,Anabaena,NA,70,NA,80.7,NA,0,NA,0,
7/31/23,2023,4,Anabaena,NA,98,NA,NA,NA,NA,NA,NA,Rerun Empty
7/31/23,2023,1S,Anabaena,NA,72,NA,282.6,NA,12.8,NA,0,
8/7/23,2023,2,Anabaena,NA,131,NA,132,NA,0,NA,29532,
8/7/23,2023,3,Anabaena,NA,118,NA,56.4,NA,22879,NA,467,
8/7/23,2023,4,Anabaena,NA,129,NA,76.2,NA,0,NA,0,
8/7/23,2023,1S,Anabaena,NA,73,NA,147.1,NA,37339,NA,0,
8/14/23,2023,2,Anabaena,NA,130,NA,58.6,NA,0,NA,0,
8/14/23,2023,3,Anabaena,NA,108,NA,58.8,NA,16234,NA,0,
8/14/23,2023,4,Anabaena,NA,142,NA,47.9,NA,0,NA,0,
8/14/23,2023,1S,Anabaena,NA,116,NA,188.1,NA,0,NA,0,
8/22/23,2023,2,Anabaena,NA,113,NA,102,NA,11785,NA,39.5,
8/22/23,2023,3,Anabaena,NA,103,NA,102,NA,1005,NA,579,
8/22/23,2023,4,Anabaena,NA,147,NA,28.2,NA,0,NA,0,
8/22/23,2023,1S,Anabaena,NA,150,NA,151.8,NA,0,NA,0,
8/28/23,2023,2,Anabaena,NA,178,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
8/28/23,2023,3,Anabaena,NA,164,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
8/28/23,2023,4,Anabaena,NA,175,NA,63.7,NA,0,NA,0,
8/28/23,2023,1S,Anabaena,NA,119,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/4/23,2023,2,Anabaena,NA,171,NA,67,NA,3049,NA,4106,
9/4/23,2023,3,Anabaena,NA,176,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/4/23,2023,4,Anabaena,NA,NA,NA,NA,NA,NA,NA,NA,
9/4/23,2023,1S,Anabaena,NA,152,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/12/23,2023,2,Anabaena,NA,NA,NA,NA,NA,NA,NA,NA,
9/12/23,2023,3,Anabaena,NA,NA,NA,NA,NA,NA,NA,NA,
9/12/23,2023,4,Anabaena,NA,NA,NA,NA,NA,NA,NA,NA,
9/12/23,2023,1S,Anabaena,NA,160,NA,71.5,53805,53805,NA,6700,
9/18/23,2023,2,Anabaena,NA,146,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/18/23,2023,3,Anabaena,NA,166,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/18/23,2023,4,Anabaena,NA,199,NA,34,NA,100.3,NA,305,
9/18/23,2023,1S,Anabaena,NA,151,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/24/23,2023,2,Anabaena,NA,189,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/24/23,2023,3,Anabaena,NA,185,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/24/23,2023,4,Anabaena,NA,202,NA,NA,NA,NA,NA,NA,Rerun Bad Quality
9/24/23,2023,1S,Anabaena,NA,188,NA,47,NA,1178,NA,875,
6/19/24,2024,2,Microcoleus,NA,,NA,,NA,NA,NA,NA,
6/19/24,2024,3,Microcoleus,1m46,,59.1,,175,NA,497,NA,
6/19/24,2024,4,Microcoleus,1m47,,273,,2.01,NA,7.38,NA,
6/19/24,2024,1S,Microcoleus,1m45,,315,,5.31,NA,0,NA,
7/2/24,2024,2,Microcoleus,NA,,NA,,NA,NA,NA,NA,
7/2/24,2024,3,Microcoleus,53,,384.8,,0,NA,0,NA,
7/2/24,2024,4,Microcoleus,54,,365.1,,0.589,NA,4.66,NA,
7/2/24,2024,1S,Microcoleus,51,,60.3,,0,NA,17562,NA,
7/17/24,2024,2,Microcoleus,11,,216.1,,15.7,NA,29.1,NA,
7/17/24,2024,3,Microcoleus,12,,208.3,,0.426,271,0,NA,
7/17/24,2024,3,Microcoleus,13,,223.4,,17,1065,30,NA,
7/17/24,2024,4,Microcoleus,14,,228.3,,22.1,NA,0,NA,
7/17/24,2024,1S,Microcoleus,15,,188.8,,117,NA,629,NA,
7/31/24,2024,2,Microcoleus,30,,219.1,,17,NA,7.05,NA,
7/31/24,2024,3,Microcoleus,32,,347,,0,10.67,0,NA,
7/31/24,2024,3,Microcoleus,33,,294.3,,0.388,20.5,0,NA,
7/31/24,2024,4,Microcoleus,36,,140.8,,2.01,NA,46.6,NA,
7/31/24,2024,1S,Microcoleus,28,,183.1,,0.226,NA,0,NA,
8/14/24,2024,2,Microcoleus,40,,315.8,,48100,NA,0,NA,
8/14/24,2024,3,Microcoleus,42,,139.6,,0,NA,0,NA,
8/14/24,2024,4,Microcoleus,44,,134.9,,41.3,NA,223,NA,
8/14/24,2024,1S,Microcoleus,38,,234.2,,1236,NA,0,NA,
8/26/24,2024,2,Microcoleus,75,,180.7,,1.04,NA,0,NA,
8/26/24,2024,3,Microcoleus,73,,195.7,,0,NA,0,NA,
8/26/24,2024,4,Microcoleus,77,,52.2,,0,NA,0,NA,
8/26/24,2024,1S,Microcoleus,71,,23.2,,4.44,NA,194,NA,
9/14/24,2024,2,Microcoleus,84,,19,,203,NA,209,NA,
9/14/24,2024,3,Microcoleus,82,,216.8,,5.87,NA,118,NA,
9/14/24,2024,4,Microcoleus,80,,136,,128,NA,2.57,NA,
9/14/24,2024,1S,Microcoleus,86,,259.8,,31.5,NA,2.91,NA,
9/27/24,2024,2,Microcoleus,101,,321.3,,0,NA,0,NA,
9/27/24,2024,3,Microcoleus,NA,,NA,,NA,NA,NA,NA,
9/27/24,2024,4,Microcoleus,103,,38.9,,117,NA,7.91,NA,
9/27/24,2024,1S,Microcoleus,100,,159.5,,0.728,NA,0,NA,
10/10/24,2024,2,Microcoleus,106,,57.7,,1.68,NA,7.78,NA,
10/10/24,2024,3,Microcoleus,NA,,NA,,NA,NA,NA,NA,
10/10/24,2024,4,Microcoleus,108,,142,,0,NA,0,NA,
10/10/24,2024,1S,Microcoleus,105,,327.3,,0,NA,13.3,NA,
7/17/24,2024,2,Anabaena,NA,,NA,,NA,NA,NA,NA,
7/17/24,2024,3,Anabaena,NA,,NA,,NA,NA,NA,NA,
7/17/24,2024,4,Anabaena,NA,,NA,,NA,NA,NA,NA,
7/17/24,2024,1S,Anabaena,16,,97.4,,48.1,NA,28883,NA,
7/31/24,2024,2,Anabaena,31,,45.4,,18072,NA,83867,NA,
7/31/24,2024,3,Anabaena,34,,125.1,,124000000,904,0,NA,
7/31/24,2024,3,Anabaena,35,,35.2,,1.12,10590,0,NA,
7/31/24,2024,4,Anabaena,37,,30,,2445,NA,34938,NA,
7/31/24,2024,1S,Anabaena,29,,82,,1316,NA,1196,NA,
8/14/24,2024,2,Anabaena,41,,48.1,,47300,NA,6.53,NA,
8/14/24,2024,3,Anabaena,43,,114.2,,0,NA,0,NA,
8/14/24,2024,4,Anabaena,45,,324.4,,0,NA,3910000,8489,
8/14/24,2024,1S,Anabaena,39,,206.2,,0,NA,1990000,652,
8/26/24,2024,2,Anabaena,74,,57.8,,0.931,NA,52.6,NA,
8/26/24,2024,3,Anabaena,76,,59,,2940000,NA,1202,NA,
